Age type,Age (Ma),Standard deviation (Ma),eU concentration (ppm),Grain radius (um),Sample ID,Depositional age (Ma)
AHe,1.0,0.04,496.5,71.8,18PE28a_1,
AHe,1.2,0.04,369.0,84.4,18PE28a_2,
AHe,1.8,0.20,310.2,99.7,18PE28a_3,
AHe,2.1,0.10,109.8,100.9,18PE28a_4,
AFT,5.0,2.9,,,18PE28aft_01,
AFT,3.4,1.1,,,18PE28aft_02,
AFT,4.3,1.9,,,18PE28aft_03,
AFT,2.0,0.8,,,18PE28aft_04,
AFT,4.0,2.9,,,18PE28aft_05,
AFT,3.2,1.3,,,18PE28aft_06,
AFT,3.2,1.1,,,18PE28aft_07,
AFT,5.4,2.1,,,18PE28aft_08,
AFT,4.1,1.9,,,18PE28aft_09,
AFT,2.5,1.8,,,18PE28aft_10,
AFT,4.6,2.4,,,18PE28aft_11,
AFT,4.3,2.2,,,18PE28aft_12,
AFT,1.4,1.4,,,18PE28aft_13,
AFT,3.6,1.0,,,18PE28aft_14,
AFT,2.7,1.4,,,18PE28aft_15,
AFT,4.2,4.2,,,18PE28aft_16,
AFT,2.5,2.5,,,18PE28aft_17,
AFT,2.4,1.7,,,18PE28aft_18,
AFT,3.4,3.4,,,18PE28aft_19,
AFT,2.3,1.2,,,18PE28aft_20,
AFT,4.0,1.0,,,18PE28aft_21,
AFT,6.2,4.5,,,18PE28aft_22,
AFT,1.9,0.8,,,18PE28aft_23,
ZHe,6.0,0.2,192.7,113.5,18PE28z_1,
ZHe,5.6,0.2,178.9,80.5,18PE28z_2,
ZHe,5.1,0.1,311.7,68.1,18PE28z_3,
ZFT,22.3,3.9,,,18PE28zft_01,
ZFT,13.8,2.2,,,18PE28zft_02,
ZFT,13.8,1.9,,,18PE28zft_03,
ZFT,19.9,2.1,,,18PE28zft_04,
ZFT,11.9,3.0,,,18PE28zft_05,
ZFT,15.5,3.8,,,18PE28zft_06,
ZFT,11.4,1.2,,,18PE28zft_07,
ZFT,14.8,1.9,,,18PE28zft_08,
ZFT,22.5,2.4,,,18PE28zft_09,
ZFT,17.6,3.7,,,18PE28zft_10,
ZFT,15.7,3.7,,,18PE28zft_11,
ZFT,25.0,2.6,,,18PE28zft_12,
ZFT,14.6,1.5,,,18PE28zft_13,
ZFT,16.1,3.1,,,18PE28zft_14,
